source_type,threat_type,asset_criticality,integrity_change,wazuh_rule_level,suricata_severity,failed_logins_1m,failed_logins_5m,unique_ports_1m,repeated_event_count,time_window_density,recurrence_history,new_user_created,off_hours,privileged_account,blacklisted_ip,label
wazuh,brute_force,high,none,10,0,24,24,2,10,7,2,0,1,0,1,High
suricata,normal,medium,none,0,0,2,2,3,3,2,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,3,3,1,1,0,0,0,Medium
suricata,port_scan,critical,none,0,3,0,0,56,15,10,3,0,1,0,1,High
wazuh,file_integrity,low,none,3,0,0,0,0,1,0,0,0,0,0,0,Low
wazuh,file_integrity,critical,critical,12,0,0,0,0,7,4,6,0,1,1,0,Critical
wazuh,brute_force,high,none,9,0,28,58,1,4,3,2,0,1,0,1,High
wazuh,file_integrity,low,minor,1,0,0,0,0,1,1,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,low,none,5,0,0,0,0,1,3,0,1,0,0,0,Medium
wazuh,file_integrity,high,minor,8,0,0,0,0,2,2,0,0,1,0,0,Medium
wazuh,unauthorized_user_creation,low,none,6,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,8,0,0,0,0,2,1,1,1,0,1,1,High
suricata,normal,critical,none,7,2,3,2,10,2,1,0,0,0,0,0,Medium
wazuh,brute_force,medium,none,9,0,8,8,0,3,1,0,0,0,0,0,Medium
wazuh,brute_force,medium,none,9,0,5,7,1,6,1,2,0,0,0,0,Medium
wazuh,file_integrity,high,critical,7,0,0,0,0,4,4,1,0,1,0,0,High
wazuh,brute_force,low,none,6,0,5,5,0,2,0,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,critical,none,13,0,0,0,0,5,4,5,1,1,1,0,Critical
wazuh,unauthorized_user_creation,critical,none,14,0,0,0,0,6,2,5,1,1,1,0,Critical
wazuh,brute_force,medium,none,9,0,5,5,1,2,1,1,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,5,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,file_integrity,critical,critical,11,0,0,0,0,8,6,5,0,0,1,0,Critical
suricata,port_scan,critical,none,0,2,0,0,67,14,10,1,0,1,0,1,High
wazuh,brute_force,high,none,12,0,22,29,2,6,5,1,0,1,0,0,High
wazuh,file_integrity,low,minor,4,0,0,0,0,2,1,2,0,1,0,0,Medium
wazuh,file_integrity,medium,critical,11,0,0,0,0,4,4,2,0,0,0,0,High
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,3,1,2,1,0,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,11,4,2,0,0,0,0,0,Medium
suricata,port_scan,critical,none,0,2,0,0,52,15,10,4,0,0,0,1,High
suricata,port_scan,critical,none,0,3,0,0,80,16,10,6,0,0,0,1,High
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,2,3,3,1,0,1,1,High
wazuh,unauthorized_user_creation,high,none,11,0,0,0,0,3,4,2,1,1,0,0,High
wazuh,brute_force,low,none,7,0,4,6,1,4,1,2,0,0,0,0,Medium
wazuh,brute_force,low,none,7,0,5,17,2,2,1,2,0,1,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,30,6,2,0,0,0,0,0,Medium
wazuh,file_integrity,high,important,10,0,0,0,0,4,2,2,0,0,0,0,High
wazuh,brute_force,critical,none,10,0,22,35,1,5,7,2,0,0,0,1,High
suricata,port_scan,critical,none,0,2,0,0,81,9,11,2,0,1,0,1,High
wazuh,file_integrity,high,important,10,0,0,0,0,3,2,2,0,1,0,0,High
wazuh,file_integrity,critical,critical,7,0,0,0,0,4,2,2,0,1,0,0,High
wazuh,brute_force,low,none,1,0,2,2,0,3,1,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,high,none,13,0,0,0,0,3,4,8,1,1,1,1,Critical
suricata,port_scan,high,none,0,2,0,0,19,10,4,1,0,0,0,0,Medium
wazuh,file_integrity,critical,critical,7,0,0,0,0,5,3,3,0,1,0,0,High
wazuh,file_integrity,medium,important,4,0,0,0,0,1,1,2,0,0,0,0,Medium
wazuh,brute_force,low,none,8,0,9,19,0,5,2,2,0,1,0,0,Medium
wazuh,file_integrity,critical,critical,9,0,0,0,0,2,3,3,0,0,0,0,High
wazuh,brute_force,low,none,4,0,1,7,0,3,0,0,0,0,0,0,Low
wazuh,brute_force,high,none,10,0,16,36,2,7,6,2,0,1,1,0,High
wazuh,brute_force,high,none,9,0,34,45,1,10,5,4,0,1,0,1,High
wazuh,brute_force,critical,none,15,0,36,95,1,13,8,8,0,1,1,1,Critical
wazuh,file_integrity,high,important,5,0,0,0,0,3,2,2,0,1,0,0,Medium
wazuh,brute_force,low,none,3,0,4,3,0,1,0,0,0,0,0,0,Low
wazuh,brute_force,low,none,1,0,5,6,0,2,1,0,0,0,0,0,Low
wazuh,brute_force,low,none,5,0,5,7,0,1,2,0,0,0,0,0,Low
wazuh,file_integrity,critical,important,7,0,0,0,0,2,3,2,0,0,0,0,High
wazuh,file_integrity,medium,important,8,0,0,0,0,1,2,2,0,0,0,0,Medium
wazuh,file_integrity,critical,critical,11,0,0,0,0,4,6,4,0,0,0,0,Critical
suricata,port_scan,critical,none,0,3,0,0,28,15,6,1,0,1,0,1,High
suricata,port_scan,low,none,0,2,0,0,4,2,3,0,0,0,0,0,Low
suricata,port_scan,low,none,0,2,0,0,6,4,3,0,0,0,0,0,Low
suricata,port_scan,critical,none,0,4,0,0,104,27,18,8,0,0,0,1,High
suricata,port_scan,high,none,0,1,0,0,10,7,4,0,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,6,0,0,0,0,1,3,0,1,0,0,0,Medium
wazuh,file_integrity,medium,minor,8,0,0,0,0,1,2,0,0,1,0,0,Medium
suricata,port_scan,high,none,0,1,0,0,28,6,5,1,0,0,0,0,Medium
wazuh,normal,low,none,0,0,1,0,1,3,2,0,0,0,0,0,Low
wazuh,file_integrity,high,critical,8,0,0,0,0,4,2,2,0,1,0,0,High
suricata,port_scan,low,none,0,2,0,0,2,2,2,0,0,0,0,0,Low
suricata,port_scan,high,none,0,1,0,0,26,7,2,0,0,0,0,0,Medium
wazuh,brute_force,medium,none,7,0,5,10,2,6,1,2,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,3,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,critical,none,15,0,0,0,0,4,5,6,1,1,1,1,Critical
suricata,port_scan,high,none,0,4,0,0,151,39,18,8,0,0,0,1,High
suricata,port_scan,high,none,0,1,0,0,15,8,7,0,0,0,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,27,4,7,1,0,0,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,15,10,7,0,0,0,0,0,Medium
wazuh,file_integrity,medium,important,5,0,0,0,0,1,3,1,0,0,0,0,Medium
wazuh,brute_force,high,none,12,0,10,25,2,9,6,2,0,0,1,0,High
suricata,port_scan,critical,none,0,3,0,0,79,17,8,4,0,1,0,1,High
wazuh,unauthorized_user_creation,low,none,4,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,normal,low,none,1,0,1,0,4,1,0,0,0,0,0,0,Low
suricata,port_scan,high,none,0,2,0,0,28,9,6,0,0,0,0,0,Medium
wazuh,brute_force,critical,none,13,0,46,115,0,19,9,6,0,0,1,0,Critical
suricata,port_scan,high,none,0,1,0,0,19,10,3,2,0,0,0,0,Medium
wazuh,brute_force,critical,none,12,0,48,64,1,20,10,6,0,0,1,1,Critical
wazuh,brute_force,medium,none,8,0,6,16,2,2,3,2,0,1,0,0,Medium
wazuh,unauthorized_user_creation,critical,none,12,0,0,0,0,4,2,4,1,0,1,0,Critical
wazuh,file_integrity,low,none,3,0,0,0,0,2,1,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,critical,none,8,0,0,0,0,4,2,2,1,0,0,1,High
suricata,port_scan,low,none,0,1,0,0,2,5,3,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,medium,none,4,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,9,0,0,0,0,2,0,2,1,0,0,0,Medium
wazuh,brute_force,high,none,8,0,12,47,2,9,6,4,0,1,0,1,High
suricata,port_scan,medium,none,0,2,0,0,10,5,1,0,0,0,0,0,Low
suricata,port_scan,high,none,0,1,0,0,9,8,4,0,0,0,0,0,Low
wazuh,file_integrity,critical,critical,10,0,0,0,0,4,2,1,0,0,0,0,High
wazuh,unauthorized_user_creation,medium,none,2,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,file_integrity,medium,important,7,0,0,0,0,1,3,0,0,0,0,0,Medium
wazuh,unauthorized_user_creation,critical,none,14,0,0,0,0,3,2,5,1,1,1,1,Critical
wazuh,unauthorized_user_creation,high,none,11,0,0,0,0,4,2,3,1,0,1,0,High
suricata,normal,medium,none,2,1,0,2,0,0,2,0,0,0,0,0,Low
wazuh,file_integrity,low,none,5,0,0,0,0,1,0,0,0,0,0,0,Low
wazuh,file_integrity,critical,critical,9,0,0,0,0,2,3,2,0,0,0,0,High
wazuh,brute_force,high,none,9,0,9,17,2,2,1,2,0,1,0,0,Medium
wazuh,brute_force,medium,none,6,0,6,8,2,3,4,0,0,0,0,0,Medium
wazuh,brute_force,low,none,9,0,11,12,2,6,4,1,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,13,0,0,0,0,2,2,2,1,1,0,1,High
wazuh,brute_force,critical,none,15,0,60,85,0,19,8,5,0,1,1,0,Critical
wazuh,file_integrity,medium,minor,8,0,0,0,0,1,2,2,0,0,0,0,Medium
wazuh,brute_force,medium,none,6,0,10,7,2,6,3,1,0,1,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,5,0,0,0,0,1,0,0,1,0,0,0,Medium
suricata,port_scan,high,none,0,1,0,0,14,8,2,0,0,0,0,0,Medium
wazuh,file_integrity,critical,critical,9,0,0,0,0,5,4,1,0,0,0,0,High
suricata,port_scan,critical,none,0,3,0,0,45,16,9,2,0,1,0,1,High
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,2,4,3,1,0,0,1,High
wazuh,unauthorized_user_creation,critical,none,12,0,0,0,0,6,3,4,1,0,1,0,Critical
suricata,port_scan,critical,none,0,2,0,0,88,19,6,4,0,1,0,1,High
suricata,port_scan,high,none,0,1,0,0,19,6,7,0,0,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,8,0,0,0,0,2,3,3,1,1,1,1,High
wazuh,file_integrity,low,none,3,0,0,0,0,1,0,0,0,0,0,0,Low
suricata,port_scan,high,none,0,2,0,0,13,5,7,2,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,13,0,0,0,0,2,2,3,1,0,1,0,High
suricata,port_scan,medium,none,0,2,0,0,22,9,7,1,0,0,0,0,Medium
wazuh,brute_force,high,none,13,0,16,34,1,5,6,2,0,1,1,0,High
wazuh,unauthorized_user_creation,medium,none,6,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,file_integrity,low,none,3,0,0,0,0,2,0,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,high,none,13,0,0,0,0,3,3,5,1,0,1,1,Critical
